id;name;value;cases
001;Agramunt;86.9;6
002;Alcarràs;118.9;13
003;Alfarràs/Almenar;79.4;8
004;Amposta;44.8;11
005;Anglès;66.4;8
007;Aran;305.2;24
008;Arbúcies/Sant Hilari;38.5;6
009;Arenys De Mar;133.5;31
010;Argentona;216.7;27
011;Artés;94.6;10
012;Artesa De Segre;14;1
013;El Vendrell;71.7;26
014;Balaguer;166.3;68
015;Banyoles;125.8;35
016;Barcelona 1-A;183.7;21
017;Barcelona 1-B;175.2;30
018;Barcelona 1-C;120.4;12
019;Barcelona 1-D;169.3;30
020;Barcelona 1-E;166.9;26
021;Barcelona 2-A;262.5;89
022;Barcelona 2-B;271.7;77
023;Barcelona 2-C;255.1;85
024;Barcelona 2-D;288.6;46
025;Barcelona 2-E;201.2;66
027;Barcelona 2-G;194.2;51
028;Barcelona 2-H;146.3;40
029;Barcelona 2-I;213.6;53
030;Barcelona 2-J;198.5;53
031;Barcelona 2-K;224.1;59
032;Barcelona 3-A;128.2;25
033;Barcelona 3-B;189.1;48
034;Barcelona 3-C;345.6;49
035;Barcelona 3-D;250.4;81
036;Barcelona 3-E;255.2;50
038;Barcelona 3-G;180.1;41
039;Barcelona 4-A;171.1;54
040;Barcelona 4-B;133.2;33
041;Barcelona 4-C;181.1;53
042;Barcelona 5-A;76.8;22
043;Barcelona 5-B;128.7;41
044;Barcelona 5-C;88.6;31
045;Barcelona 5-D;146.3;27
046;Barcelona 5-E;122.7;39
047;Barcelona 6-A;281.9;86
048;Barcelona 6-B;246;58
049;Barcelona 6-C;242.5;56
050;Barcelona 6-D;181.3;39
051;Barcelona 7-A;213.9;51
052;Barcelona 7-B;174.1;48
053;Barcelona 7-C;237.3;37
054;Barcelona 7-D;291.3;87
055;Barcelona 7-E;279.9;101
056;Barcelona 7-F;313.3;75
059;Barcelona 8-C;294.3;80
062;Barcelona 8-F;353.7;100
063;Barcelona 8-G;532.8;66
064;Barcelona 8-H;303.7;28
065;Barcelona 9-A;226.5;79
067;Barcelona 9-C;321.2;116
069;Barcelona 9-E;273.2;30
070;Barcelona 9-F;496.2;33
071;Barcelona 10-A;207.6;63
072;Barcelona 10-B;198.6;48
073;Barcelona 10-C;229;45
074;Barcelona 10-D;214.4;52
075;Barcelona 10-E;257.2;46
076;Barcelona 10-F;259.5;66
077;Barcelona 10-G;192.7;42
078;Barcelona 10-H;219;47
079;Barcelona 10-I;250.2;32
080;Bàscara;18.9;1
081;Bellpuig;36.5;3
082;Berga;143.2;32
083;Besalú;41.5;2
084;La Bisbal D'Empordà;7.2;1
085;Blanes;80;25
086;Les Borges Blanques;88.1;14
087;Les Borges Del Camp;15.4;1
088;Calaf;219.1;13
089;Caldes De Montbui;193.9;41
090;Calella;95.4;16
091;Cambrils;44.1;10
092;Camprodon;32.5;1
093;Canet De Mar;132.5;26
095;Cardedeu;186.6;32
096;Cardona;68;7
097;Castellar Del Vallès;225.5;48
098;Montserrat;64.7;7
100;Cassà De La Selva;135.2;40
101;Celrà;112;8
102;Centelles;145.8;21
103;La Cerdanya;80.5;10
104;Cerdanyola Del Vallès 1;338.8;64
105;Cerdanyola Del Vallès 2;304;62
106;Cervera;163.4;30
107;Constantí;67.8;4
108;Cornellà De Llobregat 1;122.4;34
109;Cornellà De Llobregat 2;98;20
110;Cornellà De Llobregat 3;109.5;13
111;Cornellà De Llobregat 4;69.4;12
112;Cornudella De Montsant;NaN;0
113;Deltebre;NaN;2
114;L'Escala;4.6;1
115;Esparraguera;127.9;25
116;Esplugues De Llobregat 1;120;19
117;Esplugues De Llobregat 2;83.3;22
118;Falset;38.1;2
119;Figueres;9.9;5
120;Flix;NaN;0
121;La Garriga;156.8;37
122;Gavà 1;313.2;48
123;Gavà 2;347.9;70
124;Girona 1;223.8;44
125;Girona 2;197.4;45
126;Girona 3;185.1;56
127;Girona 4;239.7;30
128;Baix Berguedà;66.5;8
129;La Granadella;206.5;6
