"id","name","value","cases"
001,Agramunt,62.6,6
002,Alcarràs,79.6,16
003,Alfarràs/Almenar,76.5,10
004,Amposta,32.8,11
005,Anglès,32.1,8
007,Aran,190.4,26
008,Arbúcies/Sant Hilari,8.4,6
009,Arenys De Mar,96.6,33
010,Argentona,111.4,26
011,Artés,62.5,10
012,Artesa De Segre,0.8,1
013,El Vendrell,36.9,26
014,Balaguer,98.9,71
015,Banyoles,59.1,37
016,Barcelona 1-A,103.9,20
017,Barcelona 1-B,77.9,30
018,Barcelona 1-C,74,14
019,Barcelona 1-D,77.6,30
020,Barcelona 1-E,134.8,29
021,Barcelona 2-A,197.8,105
022,Barcelona 2-B,207.5,87
023,Barcelona 2-C,166,104
024,Barcelona 2-D,211.9,53
025,Barcelona 2-E,153.3,76
027,Barcelona 2-G,145.5,56
028,Barcelona 2-H,107.7,43
029,Barcelona 2-I,142.6,54
030,Barcelona 2-J,115.5,56
031,Barcelona 2-K,167.7,62
032,Barcelona 3-A,62.3,34
033,Barcelona 3-B,151.5,61
034,Barcelona 3-C,218.1,59
035,Barcelona 3-D,151.6,96
036,Barcelona 3-E,169.9,61
038,Barcelona 3-G,123.2,45
039,Barcelona 4-A,129.3,63
040,Barcelona 4-B,106.5,35
041,Barcelona 4-C,142.9,63
042,Barcelona 5-A,72.6,26
043,Barcelona 5-B,84.7,42
044,Barcelona 5-C,70.4,34
045,Barcelona 5-D,101.7,27
046,Barcelona 5-E,102.3,40
047,Barcelona 6-A,190.2,90
048,Barcelona 6-B,148.5,64
049,Barcelona 6-C,171.3,57
050,Barcelona 6-D,112.9,40
051,Barcelona 7-A,134,57
052,Barcelona 7-B,118,49
053,Barcelona 7-C,168.3,41
054,Barcelona 7-D,205.3,90
055,Barcelona 7-E,208.8,106
056,Barcelona 7-F,231,82
059,Barcelona 8-C,207.7,84
062,Barcelona 8-F,204,104
063,Barcelona 8-G,290.8,72
064,Barcelona 8-H,120.6,31
065,Barcelona 9-A,181.4,89
067,Barcelona 9-C,224.6,120
069,Barcelona 9-E,159.4,33
070,Barcelona 9-F,194.5,38
071,Barcelona 10-A,113,63
072,Barcelona 10-B,96.7,51
073,Barcelona 10-C,107.8,49
074,Barcelona 10-D,116,51
075,Barcelona 10-E,161.4,48
076,Barcelona 10-F,187.2,68
077,Barcelona 10-G,121.2,45
078,Barcelona 10-H,162.8,47
079,Barcelona 10-I,158.9,31
080,Bàscara,9.4,1
081,Bellpuig,47.5,3
082,Berga,103.4,32
083,Besalú,27.5,2
084,La Bisbal D'Empordà,2.7,1
085,Blanes,52.7,25
086,Les Borges Blanques,87.9,17
087,Les Borges Del Camp,7.1,1
088,Calaf,133.6,15
089,Caldes De Montbui,108,42
090,Calella,60.9,16
091,Cambrils,21.3,10
092,Camprodon,35.3,1
093,Canet De Mar,93.9,26
095,Cardedeu,104.6,32
096,Cardona,84.9,7
097,Castellar Del Vallès,133.2,51
098,Montserrat,58,7
100,Cassà De La Selva,75.9,46
101,Celrà,67.1,8
102,Centelles,68.6,22
103,La Cerdanya,64,13
104,Cerdanyola Del Vallès 1,148.3,69
105,Cerdanyola Del Vallès 2,161.7,64
106,Cervera,112.9,37
107,Constantí,31.1,4
108,Cornellà De Llobregat 1,89.7,35
109,Cornellà De Llobregat 2,38.1,20
110,Cornellà De Llobregat 3,107,15
111,Cornellà De Llobregat 4,32.4,12
112,Cornudella De Montsant,-1,0
113,Deltebre,-1,2
114,L'Escala,-1,1
115,Esparraguera,76.5,27
116,Esplugues De Llobregat 1,101.6,19
117,Esplugues De Llobregat 2,76.3,24
118,Falset,33.7,2
119,Figueres,12.4,6
120,Flix,-1,0
121,La Garriga,108.3,40
122,Gavà 1,143.4,48
123,Gavà 2,171.3,72
124,Girona 1,159.6,45
125,Girona 2,116.9,50
126,Girona 3,123.9,62
127,Girona 4,156.2,31
128,Baix Berguedà,41,8
129,La Granadella,179.8,6
130,Alt Berguedà,27.6,4
131,Anoia Rural,192.4,44
133,La Jonquera,-1,0
134,Llançà,6.9,2
135,Lleida 1 Centre Històric-Rambla Ferran,90,20
136,Lleida 2 Primer De Maig,56.7,33
137,Lleida 3 Eixample,155.5,37
138,Lleida 4 Balàfia-Pardinyes,67.9,25
139,Lleida 5 Cappont,106.9,27
140,Lleida 6 Bordeta-Magraners,75,19
141,Lleida Rural 1-Nord,68.6,23
142,Lloret De Mar,51.2,29
143,Malgrat De Mar,41.6,12
144,Manlleu,120.1,46
145,Manresa 1,84.9,24
146,Manresa 2,96.7,29
147,Manresa 3,123.6,24
148,Manresa 4,89.7,28
149,Martorell,67.7,42
150,Martorelles,141.8,32
152,Mataró 1,128.9,31
153,Mataró 2,67.4,18
154,Mataró 3,48.9,12
155,Mataró 4,115.2,31
156,Mataró 5,97.4,20
157,Mataró 6,69.8,15
158,Mataró 7,100.1,18
159,Moià,45.8,8
160,Molins De Rei,56.5,19
161,Pla D'Urgell,46.6,41
162,Montblanc,22.6,8
163,Mont-Roig Del Camp,7.3,2
164,Montornès / Montmeló,123.1,95
165,Móra La Nova - Móra D'Ebre,10.7,3
166,El Morell,-1,1
167,Navàs/Balsareny,42.4,10
168,Olesa De Montserrat,99.5,51
169,Alt Urgell-Sud,47.9,6
171,Olot,108.6,60
172,Palafrugell,3.5,1
173,Palamós,9.3,3
174,Pallars Sobirà,94.1,8
175,Parets Del Vallès,170.5,74
176,Penedès Rural,25.4,18
177,Peralada,7,1
178,L'Ametlla De Mar - El Perelló,-1,0
179,La Pobla De Segur,344.4,25
180,Alta Ribagorça,123,4
181,Ponts,31.5,2
182,El Prat De Llobregat 1,190.9,72
183,El Prat De Llobregat 2,218,132
184,El Prat De Llobregat 3,163.2,38
185,Lluçanès,53,8
186,Premià De Mar,104.4,63
187,Ripoll-Sant Joan De Les Abadesses,15,6
188,Riudoms,15.9,5
189,Roses,11.8,4
190,Sabadell 1A,208.9,109
191,Sabadell 1B,189,75
192,Sabadell 2,173,77
193,Sabadell 3A,207.7,99
194,Sabadell 3B,229.1,63
196,Sabadell 5,214.3,67
197,Sabadell 6,227.1,124
198,Sabadell 7,152.5,21
199,Salt,87.9,64
200,Sallent,89.9,10
201,Sant Andreu De La Barca,92.1,34
202,Sant Boi De Llobregat 1,61.5,31
203,Sant Boi De Llobregat 2,60.3,19
204,Sant Boi De Llobregat 3,22.7,6
205,Sant Boi De Llobregat 4,45.9,18
206,Sant Carles De La Ràpita,13.2,3
207,Sant Celoni,61.4,32
208,Sant Feliu De Guíxols,12.6,7
209,Sant Feliu De Llobregat 1,18,6
210,Sant Feliu De Llobregat 2,80.4,27
211,Navarcles - Sant Fruitós De Bages,80.5,27
212,Sant Hipòlit De Voltregà,142.4,22
213,Sant Joan Despí 1,47.5,14
214,Sant Joan Despí 2,86.3,13
215,Sant Joan De Vilatorrada,78.2,27
216,Sant Just Desvern,122.2,23
217,Sant Quirze De Besora,121.4,11
218,Sant Sadurní D'Anoia,89.2,25
219,Sant Vicenç De Castellet,57.7,16
221,Santa Coloma De Farners,57.2,27
222,Santa Coloma De Gramenet 1,77.1,29
223,Santa Coloma De Gramenet 2,143.7,31
224,Santa Coloma De Gramenet 3,145.4,49
225,Santa Coloma De Gramenet 4,149.6,45
226,Santa Coloma De Gramenet 5,116.6,31
228,Santa Coloma De Queralt,38.6,6
229,Santa Margarida De Montbui,294.5,63
230,Santa Perpètua De La Mogoda,158.1,67
231,Sarrià De Ter,116.1,25
232,Seròs,37.9,9
233,La Seu D'Urgell,79.9,17
234,Sils/Vidreres/Maçanet De La Selva,28.5,17
235,Sitges,58.8,24
236,El Solsonès,38.9,4
237,Súria,68.4,9
238,Santa Eugènia De Berga,143.1,43
239,Tarragona 1,0.4,3
240,Tarragona 2,7.2,8
241,Tarragona 3,30.9,12
242,Tarragona 4,12.4,5
243,Tarragona 5,7.9,3
244,Tarragona 6,44.8,8
245,Tàrrega,77.5,52
246,Terra Alta,6.3,1
247,Terrassa A,119,85
248,Terrassa B,130.7,50
249,Terrassa C,70.7,10
250,Terrassa D,91.8,43
251,Terrassa E,114.4,102
252,Terrassa F,113.3,73
253,Tona,43.9,15
254,Vall Del Ges,66.9,23
255,Tortosa 1 - Est,65.2,17
256,Tortosa 2 - Oest,46.2,12
257,Torredembarra,22.4,16
258,Torroella De Montgrí,-1,0
259,Tremp,82,9
260,Ulldecona,16.7,2
261,Vallirana,85.4,20
262,Alt Camp Est,5.9,4
263,Valls Urbà,16.7,19
265,Viladecans 1,173.4,76
266,Viladecans 2,230.3,101
267,Vilafant,30.5,4
269,Vilanova Del Camí,231.3,60
271,Vilassar De Mar,70.2,28
272,Badalona 1,164.1,37
273,Badalona 2,177.3,43
274,Badalona 3,163.9,63
275,Badalona 4,109.3,32
276,Badalona 5,173.8,41
277,Badalona 6,148.8,69
279,Badalona 8,136.7,39
280,Badalona 9,182.2,60
281,Badalona 10,172.8,28
282,Badalona 11,194.8,64
283,Badalona 12,235.4,52
284,Granollers 1 -Oest,59.1,25
285,Granollers 2 - Nord,71.5,35
286,Granollers 3 - Centre Est,106.2,42
287,Granollers 4 - Sud,153.6,37
288,L'Hospitalet De Llobregat 1 - Centre,189.2,85
289,L'Hospitalet De Llobregat 2 -S.Josep,225.2,82
290,L'Hospitalet De Llobregat 3 - Collblanc,97.9,29
291,L'Hospitalet De Llobregat 4 Torrassa,114.1,38
292,L'Hospitalet De Llobregat 5-S.Eulàlia N.,195.8,79
293,L'Hospitalet De Llobregat 6-S.Eulàlia S.,183.1,93
294,L'Hospitalet De Llobregat 7-Florida N.,99.7,30
295,L'Hospitalet De Llobregat 8-Florida S.,66.7,23
296,L'Hospitalet De Llobregat 9-Pubilla C.,88.3,31
297,L'Hospitalet De Llobregat 10 - C.Serra,60.6,29
298,L'Hospitalet De Llobregat 11 - Gornal,113.8,19
299,L'Hospitalet De Llobregat 12 (Bellvitge),165.2,80
300,La Llagosta,139.4,30
303,Reus 1,10.9,4
304,Reus 2,25.5,10
305,Reus 3,30.3,13
306,Reus 4,19.9,6
307,Reus 5,7.9,6
309,Rubí 1,69.2,26
310,Rubí 2,94.3,55
311,Sant Adrià Del Besòs 1,225.2,82
312,Sant Adrià Del Besòs 2,66.1,23
314,Baix Penedès - Interior,47.9,11
315,Vall Del Tenes,114.2,57
316,Vilanova I La Geltrú 1,110.7,40
317,Vilanova I La Geltrú 2,52.5,24
319,Montgat,115.6,49
320,Barberà Del Vallès,108.5,62
322,Ciutat Badia,160,32
324,Vandellòs I L'Hospitalet De L'Infant,-1,0
325,Pineda,41.6,17
326,Barcelona 7-G,261.1,127
327,Barcelona 8-I,228.3,69
328,L'Aldea - Camarles - L'Ampolla,15.9,5
329,Lleida Rural 2-Sud,75.8,11
330,Breda - Hostalric,59.4,16
331,Barcelona 10-J,110.1,47
333,Alt Camp Oest,-1,0
334,Almacelles,13.5,2
335,Sant Andreu De Llavaneres,113.5,30
336,Tordera,21.7,4
337,Capellades,198.1,64
338,Piera,145.3,58
339,Salou,14,6
340,Vila-Seca,6.4,2
341,Badalona 7A,201.2,63
342,Badalona 7B,104.8,42
343,Ribes De Freser-Campdevànol,-1,0
344,Sabadell 4-A,190.7,53
345,Sabadell 4-B,149.8,59
346,Sant Joan Les Fonts,105.9,6
