"id","name","cases","value"
001,Agramunt,7,10.5
002,Alcarràs,22,15.8
003,Alfarràs/Almenar,24,23.7
004,Amposta,21,7.6
005,Anglès,21,16.3
007,Aran,60,71.6
008,Arbúcies/Sant Hilari,46,34.6
009,Arenys de Mar,61,23.4
010,Argentona,50,29.6
011,Artés,23,19.9
012,Artesa de Segre,3,6.8
013,El Vendrell,93,19.9
014,Balaguer,133,41.2
015,Banyoles,87,26.9
016,Barcelona 1A - Barceloneta,25,16.3
017,Barcelona 1B - Casc Antic,39,19.8
018,Barcelona 1C - Gòtic,31,20.3
019,Barcelona 1D - Raval Sud,57,22
020,Barcelona 1E - Raval Nord-Dr. Sayé,47,22.2
021,Barcelona 2A - Sant Antoni,160,43
022,Barcelona 2B - Via Roma,138,41.8
023,Barcelona 2C- Esq.Eix.-Comte Borrell,149,40.6
024,Barcelona 2D - Universitat,74,34.8
025,Barcelona 2E - Esq.Eixample-Casanova,109,30.5
027,Barcelona 2G - Dreta Eixample,87,36
028,Barcelona 2H - Passeig Sant Joan,76,26.9
029,Barcelona 2I - Sagrada Família,93,41.2
030,Barcelona 2J - Monumental,98,32.6
031,Barcelona 2K - Sagrada Família,107,37.5
032,Barcelona 3A - Les Hortes-Poble Sec,71,31.6
033,Barcelona 3B - Poble Sec-Montjuïc,96,36.5
034,Barcelona 3C - Dr. Carles Riba,84,51
035,Barcelona 3D - Bordeta,137,40.4
036,Barcelona 3E - Sants,91,41.3
038,Barcelona 3G - Numància,81,31.5
039,Barcelona 4A - Montnegre,108,33.4
040,Barcelona4B - Les Corts-Pedralbes,55,24.2
041,Barcelona 4C - Les Corts-Helios,101,29.3
042,Barcelona 5A - Marc Aureli,64,20.9
043,Barcelona 5B - Sant Elies,80,21.4
044,Barcelona  5C - Sarrià,72,25
045,Barcelona 5D-Vallvidrera-Les Planes,55,27
046,Barcelona 5E - Sant Gervasi,83,22.4
047,Barcelona 6A - Joanic,149,45.7
048,Barcelona 6B - Vila de Gràcia,102,38.2
049,Barcelona 6C - Lesseps,94,39.1
050,Barcelona6D - Vallcarca,60,26.2
051,Barcelona 7A - Sanllehy,110,46.1
052,Barcelona 7B - Sardenya,94,41.6
053,Barcelona 7C - El Carmel,98,46.3
054,Barcelona  7D - Lisboa,169,54.9
055,Barcelona 7E - Sant Rafael,218,62
056,Barcelona 7F - Lisboa,144,61.4
059,Barcelona 8C - Turó de la Peira,141,53.2
062,Barcelona 8F - Guineueta,179,57.4
063,Barcelona 8G - Roquetes,119,72.5
064,Barcelona  8H - Ciutat Meridiana,66,45.1
065,Barcelona 9A - Sagrera,121,32.9
067,Barcelona 9C - Congrés,191,49.6
069,Barcelona 9E - Bon Pastor,69,47.5
070,Barcelona 9F - Via Barcino,68,71
071,Barcelona 10A - Vila Olímpica,92,25
072,Barcelona 10B - Ramon Turró,79,28.3
073,Barcelona 10C - Poble Nou,79,33.6
074,Barcelona 10D - Besòs,82,29.5
075,Barcelona 10E - Encants,92,46.7
076,Barcelona 10F - Camp de l'Arpa,129,48.4
077,Barcelona 10G - El Clot,78,30.2
078,Barcelona 10H - Sant Martí,73,31.4
079,Barcelona 10I - La Pau,55,40.3
080,Bàscara,8,16.3
081,Bellpuig,7,10.3
082,Berga,84,35
083,Besalú,19,27.9
084,La Bisbal d'Empordà,14,8.1
085,Blanes,60,15.1
086,Les Borges Blanques,30,18.8
087,Les Borges del Camp,12,18.5
088,Calaf,15,18.8
089,Caldes de Montbui,72,30.4
090,Calella,24,12.2
091,Cambrils,49,15.4
