"name","negative","positive"
Aiguamúrcia,5,1
Alcover,11,2
Alió,2,0
Bràfim,5,2
Cabra del Camp,7,0
El Milà,1,1
El Pla de Santa Maria,6,3
El Pont d'Armentera,2,1
Els Garidells,0,2
Figuerola del Camp,4,0
La Masó,1,1
Montferri,0,1
Mont-Ral,0,1
Nulles,2,0
Puigpelat,2,0
Rodonyà,1,3
Vallmoll,4,2
Valls,126,44
Vilabella,3,4
Vila-Rodona,3,2
Agullana,1,2
Avinyonet de Puigventós,10,2
Bàscara,1,0
Biure,2,0
Boadella d'Empordà,1,0
Borrassà,3,3
Cabanelles,1,0
Cabanes,2,0
Cadaqués,8,5
Capmany,4,7
Castelló d'Empúries,28,11
Cistella,3,1
Colera,1,0
Darnius,3,0
El Far d'Empordà,2,3
El Port de la Selva,2,1
Espolla,2,0
Figueres,256,78
Fortià,7,0
Garriguella,2,1
La Jonquera,11,4
L'Armentera,2,4
L'Escala,28,10
Lladó,14,2
Llançà,15,4
Llers,9,2
Maçanet de Cabrenys,4,1
Masarac,0,2
Mollet de Peralada,1,0
Navata,8,2
Ordis,2,1
Palau-Saverdera,7,3
Pau,1,0
Pedret i Marzà,1,0
Peralada,8,1
Pont de Molins,2,0
Pontós,1,0
Portbou,2,1
Rabós,1,1
Riumors,2,0
Roses,46,16
Sant Climent Sescebes,3,3
Sant Miquel de Fluvià,3,3
Sant Pere Pescador,4,3
Santa Llogaia d'Àlguema,2,0
Saus Camallera i Llampaies,1,3
Siurana,2,0
Terrades,1,8
Torroella de Fluvià,2,0
Ventalló,9,0
Vilabertran,3,1
Vilafant,29,14
Vilajuïga,6,3
Vilamalla,7,1
Vilamaniscle,1,0
Vilanant,4,0
Vila-Sacra,2,2
Vilaür,1,1
Avinyonet del Penedès,7,5
Castellet i la Gornal,6,3
Castellví de la Marca,3,0
El Pla del Penedès,5,0
Font-Rubí,8,5
Gelida,23,18
La Granada,14,8
Les Cabanyes,8,2
Mediona,55,80
Olèrdola,18,0
Olesa de Bonesvalls,9,2
Pacs del Penedès,3,2
Puigdàlber,3,2
Sant Cugat Sesgarrigues,0,4
Sant Llorenç d'Hortons,10,9
Sant Martí Sarroca,19,4
Sant Pere de Riudebitlles,7,5
Sant Quintí de Mediona,11,6
Sant Sadurní d'Anoia,39,21
Santa Fe del Penedès,2,0
Santa Margarida i els Monjos,28,15
Subirats,14,6
Torrelavit,6,4
Torrelles de Foix,6,5
Vilafranca del Penedès,246,122
Vilobí del Penedès,1,2
Alàs i Cerc,1,0
Bassella,1,1
Cabó,0,1
La Seu d'Urgell,30,28
Les Valls de Valira,0,1
Montferrer i Castellbò,1,3
Oliana,8,8
Organyà,3,1
Ribera d'Urgellet,3,1
El Pont de Suert,4,3
La Vall de Boí,1,1
Vilaller,0,1
Argençola,3,0
Cabrera d'Anoia,9,4
Calaf,16,10
Calonge de Segarra,0,1
Capellades,24,41
Carme,7,6
Castellfollit de Riubregós,0,2
Castellolí,9,4
Copons,4,1
El Bruc,9,6
Els Hostalets de Pierola,23,12
Els Prats de Rei,2,1
Igualada,680,303
Jorba,10,5
La Llacuna,10,6
La Pobla de Claramunt,28,11
La Torre de Claramunt,23,28
Masquefa,35,18
Montmaneu,2,1
Òdena,35,17
Orpí,0,1
Piera,97,64
Sant Martí de Tous,22,4
Sant Martí Sesgueioles,1,1
Santa Margarida de Montbui,126,79
Santa Maria de Miralles,1,1
Vallbona d'Anoia,13,9
Veciana,2,0
Vilanova del Camí,136,88
Bossòst,7,13
Es Bòrdes,1,0
Les,3,1
Naut Aran,2,2
Vielha e Mijaran,35,46
Vilamòs,0,1
Aguilar de Segarra,1,1
Artés,16,16
Avinyó,10,1
Balsareny,10,9
Callús,12,3
Cardona,28,44
Castellbell i el Vilar,6,6
Castellfollit del Boix,2,0
Castellgalí,9,9
Castellnou de Bages,5,0
El Pont de Vilomara i Rocafort,7,15
Fonollosa,6,4
Manresa,380,225
Marganell,2,0
Monistrol de Montserrat,15,4
Mura,1,0
Navarcles,29,27
Navàs,20,29
Rajadell,0,1
Sallent,18,22
Sant Feliu Sasserra,2,0
Sant Fruitós de Bages,40,47
Sant Joan de Vilatorrada,43,65
Sant Mateu de Bages,4,1
Sant Salvador de Guardiola,17,7
Sant Vicenç de Castellet,34,15
Santpedor,48,21
Súria,24,14
Alforja,7,4
Almoster,6,4
Arbolí,0,1
Botarell,3,2
Cambrils,93,71
Castellvell del Camp,8,2
Colldejou,1,0
Duesaigües,0,1
La Selva del Camp,11,14
l'Albiol,3,1
L'Aleixar,3,4
Les Borges del Camp,7,0
Maspujols,2,0
Montbrió del Camp,7,4
Mont-Roig del Camp,13,16
Prades,2,1
Pratdip,2,0
Reus,296,286
Riudecanyes,1,1
Riudecols,0,1
Riudoms,14,13
Vandellòs i l'Hospitalet de l'Infant,13,11
Vilanova d'Escornalbou,0,2
Vilaplana,0,4
Vinyols i  els Arcs,4,2
Aldover,2,1
Benifallet,3,0
Camarles,4,3
Deltebre,35,3
El Perelló,4,0
l'Aldea,10,1
L'Ametlla de Mar,13,3
L'Ampolla,5,4
Roquetes,33,6
Tivenys,1,0
Tortosa,165,50
Xerta,6,1
