"timestamp","date","variation"
1584921600000,2020-03-23,877
1585008000000,2020-03-24,640
1585094400000,2020-03-25,139
1585180800000,2020-03-26,420
1585267200000,2020-03-27,-433
1585353600000,2020-03-28,-962
1585440000000,2020-03-29,-772
1585526400000,2020-03-30,1617
1585612800000,2020-03-31,204
1585699200000,2020-04-01,-5
1585785600000,2020-04-02,-432
1585872000000,2020-04-03,137
1585958400000,2020-04-04,-1264
1586044800000,2020-04-05,-627
1586131200000,2020-04-06,1210
1586217600000,2020-04-07,183
1586304000000,2020-04-08,219
1586390400000,2020-04-09,-157
1586476800000,2020-04-10,-709
1586563200000,2020-04-11,-1463
1586649600000,2020-04-12,-462
