"timestamp","date","negative","positive"
1584230400000,2020-03-15,637,344
1584316800000,2020-03-16,959,496
1584403200000,2020-03-17,1050,549
1584489600000,2020-03-18,1120,672
1584576000000,2020-03-19,1167,829
1584662400000,2020-03-20,1183,1040
1584748800000,2020-03-21,820,893
1584835200000,2020-03-22,696,765
1584921600000,2020-03-23,1148,1205
1585008000000,2020-03-24,1298,1538
1585094400000,2020-03-25,1209,1484
1585180800000,2020-03-26,1483,2172
1585267200000,2020-03-27,1621,1493
1585353600000,2020-03-28,966,1236
1585440000000,2020-03-29,697,812
1585526400000,2020-03-30,1708,1552
1585612800000,2020-03-31,1972,1633
1585699200000,2020-04-01,2197,1342
1585785600000,2020-04-02,2173,1236
1585872000000,2020-04-03,2329,1380
1585958400000,2020-04-04,1129,649
1586044800000,2020-04-05,443,190
